"Grid seed","Grid crop expansion priority AUC difference","Grid optimal priority crop expansion","Grid villages connected priority AUC difference","Grid optimal priority villages","Grid storage connected priority AUC difference","Grid optimal priority storage","Grid optimal priority overall"
26,66,"storage",18,"villages",13,"storage","trade offs"
46,45,"storage",1,"villages",1,"villages","trade offs"
52,37,"villages",9,"villages",4,"villages","villages"
19,33,"storage",10,"storage",16,"storage","storage"
11,31,"villages",12,"villages",74,"villages","villages"
34,31,"villages",0,"neither",4,"villages","villages"
85,30,"villages",18,"villages",8,"villages","villages"
89,29,"villages",6,"villages",2,"villages","villages"
53,29,"villages",4,"villages",46,"villages","villages"
94,28,"storage",14,"storage",2,"villages","trade offs"
96,28,"storage",1,"villages",0,"villages","trade offs"
69,25,"storage",0,"neither",2,"storage","storage"
38,25,"storage",0,"neither",0,"neither","storage"
80,23,"villages",2,"villages",17,"villages","villages"
63,22,"storage",12,"villages",49,"storage","trade offs"
30,21,"storage",5,"villages",1,"storage","trade offs"
37,21,"villages",19,"villages",10,"villages","villages"
16,20,"storage",10,"storage",5,"storage","storage"
47,20,"storage",9,"villages",5,"villages","trade offs"
56,19,"storage",0,"storage",27,"storage","storage"
45,18,"villages",8,"villages",4,"storage","trade offs"
73,18,"villages",2,"storage",9,"storage","trade offs"
51,18,"storage",4,"storage",5,"storage","storage"
39,18,"storage",2,"villages",2,"villages","trade offs"
8,17,"storage",4,"villages",14,"storage","trade offs"
77,17,"villages",27,"villages",6,"villages","villages"
74,16,"villages",5,"villages",69,"villages","villages"
95,15,"villages",13,"villages",3,"villages","villages"
7,14,"villages",9,"villages",8,"villages","villages"
93,14,"storage",8,"villages",15,"storage","trade offs"
59,14,"storage",3,"storage",19,"storage","storage"
81,14,"villages",1,"villages",0,"villages","villages"
42,13,"storage",5,"storage",39,"storage","storage"
78,13,"storage",3,"storage",2,"villages","trade offs"
86,13,"storage",11,"storage",20,"storage","storage"
35,12,"villages",0,"neither",5,"storage","trade offs"
27,11,"storage",6,"villages",1,"villages","trade offs"
43,11,"villages",2,"villages",2,"villages","villages"
33,11,"storage",4,"storage",5,"storage","storage"
70,10,"storage",4,"villages",4,"villages","trade offs"
87,10,"villages",9,"villages",11,"villages","villages"
10,9,"storage",3,"villages",1,"villages","trade offs"
3,8,"villages",15,"villages",15,"storage","trade offs"
18,8,"storage",1,"villages",10,"storage","trade offs"
36,8,"villages",11,"villages",14,"storage","trade offs"
14,8,"villages",3,"villages",2,"villages","villages"
84,7,"villages",3,"villages",20,"storage","trade offs"
4,6,"storage",2,"villages",10,"storage","trade offs"
92,6,"villages",0,"villages",1,"villages","villages"
23,6,"storage",4,"storage",4,"storage","storage"
15,6,"storage",0,"neither",1,"storage","storage"
76,6,"storage",1,"villages",14,"storage","trade offs"
62,6,"villages",11,"villages",35,"storage","trade offs"
22,6,"storage",3,"storage",4,"storage","storage"
57,5,"villages",0,"storage",7,"storage","trade offs"
50,4,"villages",4,"storage",7,"storage","trade offs"
28,4,"villages",0,"neither",26,"storage","trade offs"
98,4,"villages",4,"storage",8,"storage","trade offs"
79,3,"storage",1,"storage",2,"storage","storage"
65,3,"storage",1,"villages",1,"storage","trade offs"
21,3,"villages",11,"storage",44,"storage","trade offs"
5,2,"storage",8,"villages",14,"storage","trade offs"
83,2,"storage",1,"storage",34,"storage","storage"
6,2,"villages",0,"neither",2,"storage","trade offs"
54,2,"villages",2,"villages",1,"villages","villages"
1,2,"storage",2,"storage",2,"storage","storage"
90,2,"storage",14,"villages",57,"storage","trade offs"
20,1,"villages",8,"storage",5,"storage","trade offs"
91,1,"villages",2,"storage",19,"storage","trade offs"
12,1,"storage",0,"neither",2,"storage","storage"
