"Radial seed","Radial crop expansion priority AUC difference","Radial optimal priority crop expansion","Radial villages connected priority AUC difference","Radial optimal priority villages","Radial storage connected priority AUC difference","Radial optimal priority storage","Radial optimal priority overall"
95,70,"storage",15,"villages",15,"villages","trade offs"
100,68,"villages",18,"villages",5,"villages","villages"
13,68,"storage",0,"neither",11,"storage","storage"
48,52,"storage",25,"villages",25,"villages","trade offs"
18,50,"villages",20,"villages",7,"storage","trade offs"
57,46,"storage",15,"storage",16,"storage","storage"
26,37,"storage",0,"neither",5,"storage","storage"
29,33,"villages",2,"storage",2,"storage","trade offs"
89,30,"storage",15,"villages",15,"villages","trade offs"
15,29,"villages",14,"villages",84,"storage","trade offs"
60,27,"storage",8,"villages",9,"villages","trade offs"
98,26,"storage",18,"storage",30,"storage","storage"
76,26,"villages",17,"villages",60,"storage","trade offs"
97,26,"villages",0,"neither",1,"villages","villages"
35,25,"storage",0,"neither",1,"storage","storage"
69,23,"villages",38,"villages",38,"storage","trade offs"
77,22,"storage",10,"villages",11,"villages","trade offs"
62,21,"villages",34,"villages",16,"villages","villages"
66,21,"villages",26,"villages",2,"storage","trade offs"
33,20,"villages",6,"villages",28,"villages","villages"
59,19,"storage",17,"villages",11,"storage","trade offs"
3,18,"villages",10,"villages",6,"villages","villages"
64,16,"villages",0,"neither",1,"storage","trade offs"
5,14,"villages",8,"villages",6,"villages","villages"
25,12,"storage",1,"villages",45,"storage","trade offs"
51,11,"storage",0,"storage",0,"storage","storage"
20,11,"villages",0,"neither",11,"storage","trade offs"
41,11,"villages",0,"neither",4,"storage","trade offs"
86,11,"villages",7,"villages",8,"villages","villages"
42,11,"storage",8,"villages",1,"villages","trade offs"
24,10,"storage",7,"villages",8,"storage","trade offs"
10,10,"villages",0,"neither",9,"villages","villages"
44,9,"villages",9,"villages",61,"storage","trade offs"
7,9,"storage",0,"neither",9,"storage","storage"
83,9,"villages",0,"storage",20,"storage","trade offs"
53,8,"storage",0,"neither",2,"villages","trade offs"
81,8,"storage",1,"villages",0,"villages","trade offs"
50,7,"storage",3,"storage",27,"storage","storage"
79,7,"storage",0,"neither",3,"storage","storage"
85,7,"villages",16,"storage",55,"storage","trade offs"
99,6,"villages",4,"villages",0,"villages","villages"
92,6,"villages",13,"villages",12,"villages","villages"
40,6,"villages",2,"storage",3,"storage","trade offs"
22,5,"villages",3,"villages",12,"villages","villages"
80,4,"villages",3,"storage",2,"storage","trade offs"
82,4,"villages",12,"villages",8,"villages","villages"
21,4,"storage",21,"storage",46,"storage","storage"
93,4,"villages",9,"villages",2,"villages","villages"
34,3,"storage",4,"villages",2,"villages","trade offs"
43,3,"villages",3,"villages",6,"storage","trade offs"
72,3,"villages",0,"neither",2,"storage","trade offs"
38,3,"storage",0,"villages",30,"storage","trade offs"
91,3,"villages",10,"villages",1,"storage","trade offs"
88,2,"villages",1,"storage",1,"storage","trade offs"
90,1,"villages",2,"villages",2,"villages","villages"
61,1,"villages",4,"villages",4,"villages","villages"
49,1,"villages",0,"neither",0,"storage","trade offs"
74,1,"storage",0,"neither",3,"villages","trade offs"
2,1,"storage",1,"storage",2,"storage","storage"
58,1,"storage",2,"villages",4,"villages","trade offs"
30,1,"villages",12,"villages",10,"villages","villages"
