"Random seed","Random crop expansion priority AUC difference","Random optimal priority crop expansion","Random villages connected priority AUC difference","Random optimal priority villages","Random storage connected priority AUC difference","Random optimal priority storage","Random optimal priority overall"
8,34,"storage",0,"neither",0,"neither","storage"
3,33,"storage",0,"neither",42,"storage","storage"
36,31,"villages",0,"neither",4,"villages","villages"
85,29,"villages",0,"neither",3,"villages","villages"
61,27,"storage",0,"neither",0,"storage","storage"
14,26,"villages",0,"neither",0,"storage","trade offs"
82,23,"villages",0,"neither",1,"storage","trade offs"
68,22,"storage",6,"storage",4,"storage","storage"
34,18,"villages",18,"villages",2,"storage","trade offs"
87,18,"storage",0,"neither",4,"storage","storage"
7,18,"storage",3,"storage",56,"villages","trade offs"
25,16,"storage",6,"storage",40,"storage","storage"
70,16,"villages",15,"villages",31,"storage","trade offs"
21,15,"villages",12,"villages",17,"villages","villages"
94,15,"storage",0,"neither",21,"storage","storage"
55,12,"storage",0,"neither",2,"storage","storage"
51,12,"storage",0,"neither",0,"neither","storage"
31,12,"storage",14,"storage",25,"storage","storage"
2,11,"storage",9,"storage",14,"storage","storage"
33,11,"storage",7,"storage",9,"storage","storage"
45,11,"storage",4,"storage",21,"storage","storage"
11,10,"storage",2,"villages",23,"storage","trade offs"
47,10,"villages",15,"villages",9,"storage","trade offs"
91,8,"villages",4,"villages",16,"storage","trade offs"
41,7,"storage",3,"storage",81,"storage","storage"
58,7,"storage",7,"storage",19,"storage","storage"
60,6,"storage",5,"storage",27,"storage","storage"
83,6,"storage",4,"storage",4,"storage","storage"
72,6,"villages",0,"neither",1,"villages","villages"
73,6,"storage",2,"storage",26,"storage","storage"
40,5,"storage",6,"storage",81,"storage","storage"
65,5,"storage",0,"neither",0,"storage","storage"
96,5,"villages",4,"storage",41,"storage","trade offs"
39,5,"storage",0,"neither",2,"villages","trade offs"
81,4,"storage",0,"neither",0,"storage","storage"
86,4,"villages",6,"villages",17,"storage","trade offs"
80,4,"storage",0,"neither",0,"storage","storage"
69,4,"villages",0,"neither",8,"storage","trade offs"
37,3,"storage",0,"neither",0,"storage","storage"
66,3,"storage",5,"villages",3,"villages","trade offs"
35,3,"villages",0,"neither",1,"storage","trade offs"
13,3,"storage",0,"neither",0,"villages","trade offs"
12,3,"storage",0,"neither",0,"storage","storage"
20,3,"storage",4,"storage",14,"storage","storage"
18,3,"storage",2,"villages",36,"storage","trade offs"
42,3,"storage",1,"storage",13,"storage","storage"
17,3,"storage",0,"neither",19,"storage","storage"
88,3,"villages",7,"villages",45,"villages","villages"
93,2,"storage",9,"storage",45,"storage","storage"
78,2,"villages",0,"neither",0,"storage","trade offs"
46,2,"storage",0,"neither",3,"storage","storage"
76,2,"villages",0,"neither",4,"storage","trade offs"
92,2,"villages",0,"neither",20,"storage","trade offs"
1,2,"villages",4,"villages",0,"villages","villages"
67,2,"villages",0,"neither",0,"neither","villages"
19,1,"storage",0,"neither",13,"storage","storage"
90,1,"villages",0,"neither",2,"storage","trade offs"
43,1,"storage",3,"storage",2,"storage","storage"
64,1,"villages",4,"villages",43,"storage","trade offs"
9,1,"storage",3,"storage",12,"storage","storage"
30,1,"storage",2,"storage",25,"storage","storage"
48,1,"storage",0,"neither",1,"storage","storage"
63,1,"villages",6,"storage",62,"storage","trade offs"
