"Community","Village","2019 storage (T)","2024 storage (T)","2029 storage (T)","2035 storage (T)"
"Bandafassi","Ibel",200,0,0,215
"Bandafassi","Boundou Condi",40,205,85,215
"Bandafassi","Patassi",60,20,145,35
"Bandafassi","Habibou",0,75,260,370
"Bandafassi","Itato",60,150,135,205
"Bandafassi","Bandafassi",220,0,15,155
"Bandafassi","Silling",0,225,15,280
"Bandafassi","Landieni Peulh",0,55,20,200
"Bandafassi","Santacko",0,198,150,287
"Bandafassi","Samecouta",60,228,262,95
"Bandafassi","Hamadi Heri",0,270,130,165
"Bandafassi","Thiabedji",40,152,218,130
"Bandafassi","Syllacounda Diakha",0,243,60,252
"Makacoulibantang","Diangoulore",0,474,0,316
"Makacoulibantang","Sare Ely",0,390,0,260
"Makacoulibantang","Pakeba",0,258,0,0
"Makacoulibantang","Sankabary Bakary",0,420,280,0
"Makacoulibantang","Sao Soucouta",0,318,212,0
"Makacoulibantang","Boulembou",100,389,0,326
"Makacoulibantang","Yorodonde Kounda",0,273,182,0
"Makacoulibantang","Sitakourou Mandingue",0,900,0,0
"Makacoulibantang","Diyabougou",0,351,0,234
"Makacoulibantang","Fadyacounda",5,265,0,0
"Makacoulibantang","Maka Village",40,440,0,0
"Makacoulibantang","Maka (Station Marabout",0,530,0,0
"Makacoulibantang","Maka Escale",260,270,0,0
"Makacoulibantang","Sinthiou Samba Ndao",0,264,0,176
"Ndorna","Thietty",0,810,0,0
"Ndorna","Ndorna",100,900,0,0
"Ndorna","Soboulde",10,400,0,0
"Ndorna","Soulabaly",30,1070,0,0
"Ndorna","Bayoungou",30,1055,0,0
"Ndorna","Mbayenne",10,200,140,0
"Ndorna","Tankonfara",150,1035,0,0
